"Sanford, FL","Lorton, VA"
"Albany-Rensselaer, NY","Waterloo, IN"
"Raleigh, NC","Miami, FL"
"Newark, NJ","High Point, NC"
"Roseville, CA","Reno, NV"
"McCook, NE","Chicago, IL"
"Emeryville, CA","Ottumwa, IA"
"Greenville, SC","Newark, NJ"
"Provo, UT","Chicago, IL"
"St. Paul-Minneapolis, MN","Grand Forks, ND"
"Hattiesburg, MS","Philadelphia, PA"
"Hollywood, FL","Kissimmee, FL"
"Portland, OR","Davis, CA"
"Kissimmee, FL","Fort Lauderdale, FL"
"Wilmington, DE","Wilson, NC"
"West Palm Beach, FL","Charleston, SC"
"Richmond, VA","Greensboro, NC"
"St. Paul-Minneapolis, MN","Stanley, ND"
"Syracuse, NY","Albany-Rensselaer, NY"
"Newark, NJ","Deerfield Beach, FL"
"High Point, NC","Raleigh, NC"
"Albany, OR","Seattle, WA"
"Beaumont, TX","New Orleans, LA"
"Chicago, IL","McGregor, TX"
"Jacksonville, FL","Rocky Mount, NC"
"San Luis Obispo, CA","Klamath Falls, OR"
"Florence, SC","Wilmington, DE"
"Martinez, CA","Olympia-Lacey, WA"
"Chicago, IL","Fort Morgan, CO"
"Naperville, IL","Reno, NV"
"Chemult, OR","Los Angeles, CA"
"Jacksonville, FL","Hollywood, FL"
"Whitefish, MT","Glenview, IL"
"Emeryville, CA","Lincoln, NE"
"Salem, OR","Klamath Falls, OR"
"High Point, NC","Newark, NJ"
"Yazoo City, MS","Homewood, IL"
"Danville, VA","Philadelphia, PA"
"Galesburg, IL","Williams Junction, AZ"
"South Bend, IN","Syracuse, NY"
"Winter Haven, FL","Fort Lauderdale, FL"
"San Luis Obispo, CA","Santa Barbara, CA"
"Dillon, SC","Newark, NJ"
"Rocky Mount, NC","Jacksonville, FL"
"La Junta, CO","Los Angeles, CA"
"Greensboro, NC","Wilmington, DE"
"Sacramento, CA","Ottumwa, IA"
"San Antonio, TX","Joliet, IL"
"La Crosse, WI","St. Paul-Minneapolis, MN"
"Washington, DC","Lynchburg, VA"
"Greensboro, NC","Birmingham, AL"
"Slidell, LA","New York, NY"
"Minot, ND","Fargo, ND"
"Washington, DC","Dillon, SC"
"Fargo, ND","Spokane, WA"
"San Bernardino, CA","Raton, NM"
"Sacramento, CA","Naperville, IL"
"Albany-Rensselaer, NY","Boston, MA"
"Fort Madison, IA","Kansas City, MO"
"Erie, PA","Albany-Rensselaer, NY"
"Cary, NC","Kissimmee, FL"
"Seattle, WA","Essex, MT"
"Chicago, IL","Newark, NJ"
"Wolf Point, MT","Whitefish, MT"
"Emeryville, CA","Mount Pleasant, IA"
"Jesup, GA","Miami, FL"
"Miami, FL","Richmond, VA"
"Mattoon, IL","New Orleans, LA"
"Carbondale, IL","Jackson, MS"
"Syracuse, NY","South Bend, IN"
"Tacoma, WA","Salem, OR"
"Winter Park, FL","Charleston, SC"
"Los Angeles, CA","Winslow, AZ"
"Trenton, NJ","Wilson, NC"
"Fredericksburg, VA","Philadelphia, PA"
"Danville, VA","Newark, NJ"
"Ontario, CA","Tucson, AZ"
"Spokane, WA","Fargo, ND"
"Spartanburg, SC","Philadelphia, PA"
"Chicago, IL","Colfax, CA"
"Danville, VA","Washington, DC"
"Portland, OR","Devils Lake, ND"
"Fort Madison, IA","Flagstaff, AZ"
"Seattle, WA","Winona, MN"
"Rocky Mount, NC","Trenton, NJ"
"Columbia, SC","Kissimmee, FL"
"Columbia, SC","West Palm Beach, FL"
"Chicago, IL","Creston, IA"
"Austin, TX","Springfield, IL"
"Chicago, IL","San Marcos, TX"
"Rocky Mount, NC","Tampa, FL"
"Tucson, AZ","Ontario, CA"
"Spokane, WA","La Crosse, WI"
"McComb, MS","Homewood, IL"
"Marshall, TX","Dallas, TX"
"Marshall, TX","St. Louis, MO"
"Portland, OR","Salem, OR"
"Fullerton, CA","Lamy, NM"
"Chicago, IL","Centralia, IL"
"Newbern-Dyersburg, TN","New Orleans, LA"
"Wilmington, DE","Greensboro, NC"
"Wilmington, DE","New Orleans, LA"
"Boston, MA","Cleveland, OH"
"Carbondale, IL","Homewood, IL"
"Charleston, SC","West Palm Beach, FL"
"Kissimmee, FL","Hollywood, FL"
"New Orleans, LA","Fulton, KY"
"Galesburg, IL","Omaha, NE"
"East Glacier Park, MT","Glenview, IL"
"Oxnard, CA","Oakland, CA"
"Alexandria, VA","Durham, NC"
"Deerfield Beach, FL","Jacksonville, FL"
"Richmond, VA","Fort Lauderdale, FL"
"Williston, ND","Everett, WA"
"St. Paul-Minneapolis, MN","La Crosse, WI"
"Winslow, AZ","Los Angeles, CA"
"Raleigh, NC","Winter Park, FL"
"Baltimore, MD","Kissimmee, FL"
"Winter Park, FL","Philadelphia, PA"
"Los Angeles, CA","Temple, TX"
"Redding, CA","Tacoma, WA"
"Whitefish, MT","Edmonds, WA"
"Charlottesville, VA","Cincinnati, OH"
"Portland, OR","Olympia-Lacey, WA"
"Deland, FL","Miami, FL"
"West Palm Beach, FL","Kissimmee, FL"
"Alexandria, VA","Tampa, FL"
"Arkadelphia, AR","Chicago, IL"
"Tomah, WI","Portland, OR"
"San Bernardino, CA","Kansas City, MO"
"Sacramento, CA","Vancouver, WA"
"New Orleans, LA","Beaumont, TX"
"Centralia, IL","Chicago, IL"
"San Antonio, TX","Longview, TX"
"Albuquerque, NM","Barstow, CA"
"Boston, MA","Springfield, MA"
"Hollywood, FL","Winter Haven, FL"
"Fort Worth, TX","Longview, TX"
"Osceola, IA","Salt Lake City, UT"
"Winter Haven, FL","Philadelphia, PA"
"Fort Madison, IA","Chicago, IL"
"Meridian, MS","Philadelphia, PA"
"New Orleans, LA","Newbern-Dyersburg, TN"
"Tacoma, WA","Klamath Falls, OR"
"Winona, MN","Minot, ND"
"Newark, NJ","Danville, VA"
"Hollywood, FL","Philadelphia, PA"
"Klamath Falls, OR","Salem, OR"
"Yemassee, SC","Richmond, VA"
"Huntington, WV","New York, NY"
"Sebring, FL","Philadelphia, PA"
"Los Angeles, CA","Chico, CA"
"Miami, FL","Jesup, GA"
"Benson, AZ","Chicago, IL"
"Reno, NV","Hastings, NE"
"Chicago, IL","Holdrege, NE"
"Chicago, IL","Mendota, IL"
"Spokane, WA","Milwaukee, WI"
"Fayetteville, NC","Savannah, GA"
"Selma, NC","Newark, NJ"
"Chicago, IL","Arkadelphia, AR"
"San Jose, CA","Van Nuys, CA"
"Columbia, SC","Baltimore, MD"
"Wenatchee, WA","St. Paul-Minneapolis, MN"
"Santa Barbara, CA","Sacramento, CA"
"Charlottesville, VA","Newark, NJ"
"Portage, WI","Seattle, WA"
"Martinez, CA","Chemult, OR"
"Fulton, KY","New Orleans, LA"
"Los Angeles, CA","Kelso-Longview, WA"
"Little Rock, AR","San Antonio, TX"
"Topeka, KS","Flagstaff, AZ"
"Kissimmee, FL","Cary, NC"
"Newark, NJ","Dillon, SC"
"Atlanta, GA","Birmingham, AL"
"Trinidad, CO","Kansas City, MO"
"Alexandria, VA","Newark, NJ"
"Springfield, IL","Austin, TX"
"Jacksonville, FL","Deerfield Beach, FL"
"La Crosse, WI","Spokane, WA"
"New Orleans, LA","Wilmington, DE"
"Naperville, IL","Sacramento, CA"
"Wilson, NC","Trenton, NJ"
"Fort Lauderdale, FL","Columbia, SC"
"Baltimore, MD","Kingstree, SC"
"Davis, CA","Eugene, OR"
"Pasco, WA","Spokane, WA"
"Trenton, NJ","Charleston, SC"
"San Antonio, TX","Little Rock, AR"
"Oxnard, CA","Eugene, OR"
"West Palm Beach, FL","Raleigh, NC"
"Clemson, SC","Washington, DC"
"Chicago, IL","Prince, WV"
"Baltimore, MD","Miami, FL"
"Raton, NM","Mendota, IL"
"Newton, KS","Galesburg, IL"
"Winslow, AZ","Albuquerque, NM"
"Burlington, NC","Charlotte, NC"
"New York, NY","Lakeland, FL"
"Philadelphia, PA","Danville, VA"
"Longview, TX","Joliet, IL"
"Slidell, LA","Birmingham, AL"
"Savannah, GA","Hollywood, FL"
"Lawrence, KS","Los Angeles, CA"
"Miami, FL","Florence, SC"
"Chicago, IL","Hazlehurst, MS"
"Seattle, WA","Sandpoint, ID"
"Milwaukee, WI","Winona, MN"
"Palatka, FL","Philadelphia, PA"
"Havre, MT","Portland, OR"
"Manassas, VA","Atlanta, GA"
"Winter Haven, FL","Hollywood, FL"
"Alpine, TX","Palm Springs, CA"
"Durham, NC","Alexandria, VA"
"Charlotte, NC","Burlington, NC"
"Los Angeles, CA","La Junta, CO"
"Selma, NC","Philadelphia, PA"
"Mount Pleasant, IA","Grand Junction, CO"
"Seattle, WA","Portage, WI"
"Chicago, IL","Baltimore, MD"
"Omaha, NE","Galesburg, IL"
"Fullerton, CA","La Junta, CO"
"Seattle, WA","Leavenworth, WA"
"Deland, FL","Richmond, VA"
"Fort Lauderdale, FL","Raleigh, NC"
"Lamy, NM","Fullerton, CA"
"New Orleans, LA","Newark, NJ"
"Edmonds, WA","Whitefish, MT"
"Eugene, OR","Tacoma, WA"
"Oakland, CA","Klamath Falls, OR"
"Kissimmee, FL","Baltimore, MD"
"New York, NY","Philadelphia, PA"
"Baltimore, MD","Columbia, SC"
"Kissimmee, FL","West Palm Beach, FL"
"Sacramento, CA","Holdrege, NE"
"Salisbury, NC","Philadelphia, PA"
"San Luis Obispo, CA","Emeryville, CA"
"Provo, UT","Sacramento, CA"
"Savannah, GA","Winter Park, FL"
"Philadelphia, PA","Lynchburg, VA"
"Temple, TX","Fort Worth, TX"
"Philadelphia, PA","Fredericksburg, VA"
"Greensboro, NC","Richmond, VA"
"New Orleans, LA","Kankakee, IL"
"Orlando, FL","Delray Beach, FL"
"Tomah, WI","Seattle, WA"
"Savannah, GA","Fayetteville, NC"
"Stanley, ND","St. Paul-Minneapolis, MN"
"Needles, CA","Winslow, AZ"
"Spokane, WA","Grand Forks, ND"
"Portland, OR","Paso Robles, CA"
"Fort Lauderdale, FL","Kissimmee, FL"
"Simi Valley, CA","Portland, OR"
"Durham, NC","Wilmington, DE"
"Joliet, IL","Longview, TX"
"Newark, NJ","Greenville, SC"
"Sandpoint, ID","Seattle, WA"
"Joliet, IL","San Antonio, TX"
"Portland, OR","Essex, MT"
"Chicago, IL","Elko, NV"
"Charleston, SC","Petersburg, VA"
"Van Nuys, CA","San Jose, CA"
"Trenton, NJ","Fort Lauderdale, FL"
"South Bend, IN","Pittsburgh, PA"
"Holdrege, NE","Sacramento, CA"
"Raton, NM","Fort Madison, IA"
"Pittsburgh, PA","South Bend, IN"
"East Glacier Park, MT","St. Cloud, MN"
"Osceola, IA","Glenwood Springs, CO"
"Ottumwa, IA","Emeryville, CA"
"Galesburg, IL","Grand Junction, CO"
"Washington, DC","Harpers Ferry, WV"
"Lafayette, LA","Houston, TX"
"San Bernardino, CA","Galesburg, IL"
"Oakland, CA","Tacoma, WA"
"Chicago, IL","Hope, AR"
"West Palm Beach, FL","Richmond, VA"
"Washington, DC","Sandusky, OH"
"Sandpoint, ID","Portland, OR"
"Salisbury, NC","Newark, NJ"
"Washington, DC","Clemson, SC"
"Denver, CO","Colfax, CA"
"Palm Springs, CA","New Orleans, LA"
"Sacramento, CA","Salinas, CA"
"Cleveland, OH","Pittsburgh, PA"
"Creston, IA","Lincoln, NE"
"Emeryville, CA","San Luis Obispo, CA"
"Sebring, FL","Miami, FL"
"Newark, NJ","Tuscaloosa, AL"
"Denver, CO","Creston, IA"
"Mendota, IL","Kansas City, MO"
"Albuquerque, NM","Raton, NM"
"Quantico, VA","New York, NY"
"Miami, FL","Sebring, FL"
"Los Angeles, CA","Princeton, IL"
"Savannah, GA","Kissimmee, FL"
"Newark, NJ","Selma, NC"
"Longview, TX","Fort Worth, TX"
"Columbia, SC","Wilmington, DE"
"Baltimore, MD","Cary, NC"
"Fayetteville, NC","West Palm Beach, FL"
"Pittsburgh, PA","Waterloo, IN"
"Portland, OR","Staples, MN"
"Toledo, OH","Schenectady, NY"
"Sandusky, OH","Washington, DC"
"San Jose, CA","Paso Robles, CA"
"Dallas, TX","Marshall, TX"
"Bloomington-Normal, IL","Fort Worth, TX"
"Staples, MN","Seattle, WA"
"Kansas City, MO","Fort Madison, IA"
"Boston, MA","Toledo, OH"
"Chicago, IL","Wilmington, DE"
"Olympia-Lacey, WA","Emeryville, CA"
"Emeryville, CA","Albany, OR"
"Tacoma, WA","Vancouver, WA"
"Creston, IA","Denver, CO"
"Charlottesville, VA","Alexandria, VA"
"Fort Madison, IA","Albuquerque, NM"
"Wilson, NC","Wilmington, DE"
"Needles, CA","Fullerton, CA"
"Omaha, NE","Glenwood Springs, CO"
"San Bernardino, CA","Topeka, KS"
"Los Angeles, CA","Victorville, CA"
"Grand Forks, ND","Minot, ND"
"Harpers Ferry, WV","Washington, DC"
"Savannah, GA","Petersburg, VA"
"St. Louis, MO","Marshall, TX"
"New Orleans, LA","Mattoon, IL"
"Edmonds, WA","Minot, ND"
"Charlottesville, VA","Indianapolis, IN"
"Fredericksburg, VA","Washington, DC"
"Whitefish, MT","Wolf Point, MT"
"West Palm Beach, FL","Winter Park, FL"
"Buffalo-Depew, NY","South Bend, IN"
"Tucson, AZ","St. Louis, MO"
"Cleveland, OH","Rochester, NY"
"Fargo, ND","Minot, ND"
"Williston, ND","Libby, MT"
"St. Paul-Minneapolis, MN","Edmonds, WA"
"Fullerton, CA","Newton, KS"
"Klamath Falls, OR","Tacoma, WA"
"Columbia, SC","Alexandria, VA"
"Chicago, IL","Taylor, TX"
"Joliet, IL","St. Louis, MO"
"West Palm Beach, FL","Columbia, SC"
"Chicago, IL","Benson, AZ"
"Wolf Point, MT","Seattle, WA"
"Osceola, IA","Emeryville, CA"
"Stanley, ND","Spokane, WA"
"Kannapolis, NC","Cary, NC"
"Reno, NV","Glenwood Springs, CO"
"Raleigh, NC","Deland, FL"
"West Palm Beach, FL","Wilmington, DE"
"Newark, NJ","Salisbury, NC"
"Salt Lake City, UT","Davis, CA"
"Wilmington, DE","Cary, NC"
"Lawrence, KS","Flagstaff, AZ"
"St. Louis, MO","Springfield, IL"
"Orlando, FL","Petersburg, VA"
"Lamar, CO","Chicago, IL"
"West Palm Beach, FL","Winter Haven, FL"
"Jacksonville, FL","Petersburg, VA"
"Los Angeles, CA","Marshall, TX"
"St. Louis, MO","Tucson, AZ"
"Miami, FL","Deland, FL"
"Wisconsin Dells, WI","St. Paul-Minneapolis, MN"
"Whitefish, MT","Vancouver, WA"
"East Glacier Park, MT","Spokane, WA"
"Albany-Rensselaer, NY","Worcester, MA"
"Vancouver, WA","Whitefish, MT"
"Springfield, IL","Fort Worth, TX"
"Hammond, LA","Homewood, IL"
"Trenton, NJ","West Palm Beach, FL"
"Utica, NY","Toledo, OH"
"Chicago, IL","Ashland, KY"
"Edmonds, WA","Fargo, ND"
"Carbondale, IL","Memphis, TN"
"Schenectady, NY","Toledo, OH"
"Brookhaven, MS","Homewood, IL"
"Glenwood Springs, CO","Salt Lake City, UT"
"Essex, MT","Portland, OR"
"Salinas, CA","Klamath Falls, OR"
"Paso Robles, CA","San Jose, CA"
"Cary, NC","Wilmington, DE"
"Glenview, IL","East Glacier Park, MT"
"Trenton, NJ","Rocky Mount, NC"
"Everett, WA","Wenatchee, WA"
"Reno, NV","Naperville, IL"
"Portland, OR","Burbank, CA"
"Klamath Falls, OR","Martinez, CA"
"Waterloo, IN","Pittsburgh, PA"
"Birmingham, AL","Atlanta, GA"
"Wilson, NC","Greensboro, NC"
"Winter Park, FL","West Palm Beach, FL"
"Benson, AZ","Los Angeles, CA"
"West Palm Beach, FL","Trenton, NJ"
"Mount Pleasant, IA","Emeryville, CA"
"Rugby, ND","St. Paul-Minneapolis, MN"
"Alexandria, VA","Kissimmee, FL"
"Utica, NY","Cleveland, OH"
"Flagstaff, AZ","Riverside, CA"
"Fayetteville, NC","Kissimmee, FL"
"Salt Lake City, UT","Mount Pleasant, IA"
"Milwaukee, WI","Everett, WA"
"Trenton, NJ","Charlottesville, VA"
"Deerfield Beach, FL","Savannah, GA"
"Birmingham, AL","Slidell, LA"
"Seattle, WA","Burbank, CA"
"Toccoa, GA","New York, NY"
"Galesburg, IL","Lamy, NM"
"Elko, NV","Denver, CO"
"Portland, OR","Sandpoint, ID"
"Birmingham, AL","Charlotte, NC"
"Pittsburgh, PA","Cleveland, OH"
"Los Angeles, CA","Mendota, IL"
"Wilmington, DE","Columbia, SC"
"Oakland, CA","Oxnard, CA"
"New York, NY","Elyria, OH"
"Tacoma, WA","Redding, CA"
"Grand Junction, CO","Mount Pleasant, IA"
"Alexandria, VA","Columbia, SC"
"Worcester, MA","Albany-Rensselaer, NY"
"Red Wing, MN","Seattle, WA"
"Trenton, NJ","Tampa, FL"
"Kissimmee, FL","Deerfield Beach, FL"
"Hazlehurst, MS","Chicago, IL"
"Omaha, NE","Grand Junction, CO"
"Philadelphia, PA","Spartanburg, SC"
"Portland, OR","Albany, OR"
"Cary, NC","Baltimore, MD"
"La Junta, CO","Flagstaff, AZ"
"Los Angeles, CA","Texarkana, AR"
"Stanley, ND","Whitefish, MT"
"Fort Worth, TX","Tucson, AZ"
"Cary, NC","Kannapolis, NC"
"Sacramento, CA","Green River, UT"
"Milwaukee, WI","Spokane, WA"
"Spokane, WA","Havre, MT"
"Kingstree, SC","Baltimore, MD"
"Rocky Mount, NC","Wilmington, DE"
"Riverside, CA","Flagstaff, AZ"
"Atlanta, GA","Greenville, SC"
"Greensboro, NC","Wilson, NC"
"Dallas, TX","Little Rock, AR"
"Texarkana, AR","Los Angeles, CA"
"Flagstaff, AZ","Fort Madison, IA"
"Creston, IA","Chicago, IL"
"Dallas, TX","Tucson, AZ"
"Riverside, CA","Raton, NM"
"Houston, TX","Lafayette, LA"
"Centralia, IL","New Orleans, LA"
"Birmingham, AL","Charlottesville, VA"
"Tucson, AZ","El Paso, TX"
"St. Paul-Minneapolis, MN","Wisconsin Dells, WI"
"Columbia, SC","Trenton, NJ"
"Dallas, TX","Temple, TX"
"Wilmington, DE","Rocky Mount, NC"
"Los Angeles, CA","Del Rio, TX"
"Philadelphia, PA","Deerfield Beach, FL"
"San Jose, CA","Chemult, OR"
"Joliet, IL","Dallas, TX"
"Los Angeles, CA","Mineola, TX"
"Newton, KS","Kansas City, MO"
"Marshall, TX","Los Angeles, CA"
"Fort Worth, TX","Joliet, IL"
"Dunsmuir, CA","Sacramento, CA"
"Miami, FL","Alexandria, VA"
"Naperville, IL","Grand Junction, CO"
"Kansas City, MO","Dodge City, KS"
"Schenectady, NY","Cleveland, OH"
"Portland, OR","Detroit Lakes, MN"
"Everett, WA","Grand Forks, ND"
"Emeryville, CA","Provo, UT"
"Topeka, KS","Albuquerque, NM"
"San Luis Obispo, CA","Salinas, CA"
"Trenton, NJ","Columbia, SC"
"Charleston, SC","Rocky Mount, NC"
"New Orleans, LA","Effingham, IL"
"Deland, FL","Cary, NC"
"Rochester, NY","South Bend, IN"
"Fort Worth, TX","Springfield, IL"
"Fort Worth, TX","Taylor, TX"
"Jacksonville, FL","Florence, SC"
"Buffalo-Depew, NY","Boston, MA"
"Longview, TX","San Antonio, TX"
"Miami, FL","Winter Park, FL"
"Winona, MN","Seattle, WA"
"Libby, MT","Williston, ND"
"Florence, SC","Jacksonville, FL"
"Chicago, IL","Cut Bank, MT"
"Staples, MN","Portland, OR"
"Denver, CO","McCook, NE"
"Naperville, IL","Galesburg, IL"
"Richmond, VA","Deland, FL"
"Petersburg, VA","Charleston, SC"
"San Antonio, TX","Austin, TX"
"Omaha, NE","Martinez, CA"
"New Orleans, LA","Lynchburg, VA"
"Glenwood Springs, CO","Reno, NV"
"Elkhart, IN","New York, NY"
"Denver, CO","Provo, UT"
"Petersburg, VA","Savannah, GA"
"Newark, NJ","Jesup, GA"
"Fort Lauderdale, FL","Winter Park, FL"
"San Bernardino, CA","Newton, KS"
"Little Rock, AR","Springfield, IL"
"Holdrege, NE","Chicago, IL"
"New York, NY","Quantico, VA"
"Charlotte, NC","Birmingham, AL"
"Fort Lauderdale, FL","Cary, NC"
"Lakeland, FL","New York, NY"
"Lawrence, KS","Albuquerque, NM"
"Austin, TX","Bloomington-Normal, IL"
"Albany-Rensselaer, NY","Erie, PA"
"Philadelphia, PA","Dillon, SC"
"Glenwood Springs, CO","Naperville, IL"
"Wilmington, DE","Deland, FL"
"Martinez, CA","Vancouver, WA"
"Columbia, SC","Hollywood, FL"
"Sacramento, CA","Provo, UT"
"West Palm Beach, FL","Baltimore, MD"
"Everett, WA","Shelby, MT"
"St. Louis, MO","Poplar Bluff, MO"
"Orlando, FL","Jesup, GA"
"Charleston, SC","Florence, SC"
"Richmond, VA","West Palm Beach, FL"
"Philadelphia, PA","Tuscaloosa, AL"
"Los Angeles, CA","Lawrence, KS"
"San Jose, CA","Burbank, CA"
"Milwaukee, WI","Chicago, IL"
"San Bernardino, CA","Needles, CA"
"Palm Springs, CA","Chicago, IL"
"Homewood, IL","Yazoo City, MS"
"San Luis Obispo, CA","Olympia-Lacey, WA"
"Pasco, WA","Columbus, WI"
"Seattle, WA","Detroit Lakes, MN"
"Newton, KS","Fullerton, CA"
"Devils Lake, ND","Chicago, IL"
"Davis, CA","Santa Barbara, CA"
"Whitefish, MT","Havre, MT"
"Martinez, CA","Omaha, NE"
"Whitefish, MT","Stanley, ND"
"El Paso, TX","Tucson, AZ"
"Yuma, AZ","Chicago, IL"
"Little Rock, AR","Joliet, IL"
"Winter Park, FL","Jacksonville, FL"
"Philadelphia, PA","Gainesville, GA"
"Fort Lauderdale, FL","Trenton, NJ"
"Portland, OR","Rugby, ND"
"Portland, OR","Libby, MT"
"Philadelphia, PA","Palatka, FL"
"Princeton, IL","Kansas City, MO"
"Rugby, ND","Chicago, IL"
"Sacramento, CA","Dunsmuir, CA"
"Washington, DC","Fredericksburg, VA"
"Palatka, FL","Newark, NJ"
"Kelso-Longview, WA","Sacramento, CA"
"Portage, WI","Portland, OR"
"Jesup, GA","Newark, NJ"
"Richmond, VA","Wilson, NC"
"Winter Haven, FL","West Palm Beach, FL"
"Portland, OR","Wisconsin Dells, WI"
"Baltimore, MD","Tampa, FL"
"Washington, DC","Staunton, VA"
"Toledo, OH","Boston, MA"
"New Orleans, LA","Palm Springs, CA"
"Fayetteville, NC","Fort Lauderdale, FL"
"Wisconsin Dells, WI","Portland, OR"
"Milwaukee, WI","Shelby, MT"
"La Junta, CO","Fullerton, CA"
"Martinez, CA","Santa Barbara, CA"
"Grand Junction, CO","Naperville, IL"
"Chicago, IL","Cleburne, TX"
"Burbank, CA","San Jose, CA"
"Sacramento, CA","Redding, CA"
"Flagstaff, AZ","San Bernardino, CA"
"Salem, OR","San Luis Obispo, CA"
"Truckee, CA","Emeryville, CA"
"Austin, TX","El Paso, TX"
"Wilson, NC","Richmond, VA"
"Deerfield Beach, FL","Kissimmee, FL"
"Deming, NM","Los Angeles, CA"
"Vancouver, WA","Tacoma, WA"
"Chicago, IL","Winnemucca, NV"
"Florence, SC","Miami, FL"
"Lakeland, FL","Deerfield Beach, FL"
"Joliet, IL","Fort Worth, TX"
"Galesburg, IL","Newton, KS"
"Birmingham, AL","Greensboro, NC"
"Gainesville, GA","Philadelphia, PA"
"Winona, MN","Portland, OR"
"St. Louis, MO","Joliet, IL"
"Havre, MT","Whitefish, MT"
"Taylor, TX","Fort Worth, TX"
"Oxnard, CA","Salinas, CA"
"Charleston, SC","Winter Park, FL"
"Pasco, WA","Milwaukee, WI"
"Elyria, OH","New York, NY"
"Temple, TX","Dallas, TX"
"Kissimmee, FL","Tampa, FL"
"San Antonio, TX","Houston, TX"
"Kansas City, MO","Trinidad, CO"
"Newark, NJ","Hamlet, NC"
"Los Angeles, CA","Benson, AZ"
"Texarkana, AR","St. Louis, MO"
"St. Louis, MO","Maricopa, AZ"
"Kansas City, MO","Mendota, IL"
"Whitefish, MT","La Crosse, WI"
"Winter Park, FL","Miami, FL"
"Princeton, IL","Emeryville, CA"
"Wilmington, DE","Durham, NC"
"Washington, DC","Huntington, WV"
"San Antonio, TX","Lafayette, LA"
"San Luis Obispo, CA","Chemult, OR"
"Burlington, NC","Washington, DC"
"Mendota, IL","Los Angeles, CA"
"Grand Junction, CO","Osceola, IA"
"San Jose, CA","Chico, CA"
"Philadelphia, PA","Winter Haven, FL"
"Simi Valley, CA","San Jose, CA"
"South Bend, IN","Rochester, NY"
"White Sulphur Springs, WV","Washington, DC"
"Charlotte, NC","Fredericksburg, VA"
"Williston, ND","Wenatchee, WA"
"Albuquerque, NM","Topeka, KS"
"Wilmington, DE","Alexandria, VA"
"Portland, OR","Stanley, ND"
"New Orleans, LA","Alpine, TX"
"Cleveland, OH","Utica, NY"
"Glasgow, MT","Seattle, WA"
"Pittsfield, MA","Boston, MA"
"Columbia, SC","Winter Park, FL"
"New Orleans, LA","Hattiesburg, MS"
"Minot, ND","Vancouver, WA"
"Baltimore, MD","High Point, NC"
"San Bernardino, CA","Flagstaff, AZ"
"Buffalo-Depew, NY","Elkhart, IN"
"Flagstaff, AZ","Mendota, IL"
"Fort Lauderdale, FL","Wilmington, DE"
"Portland, OR","Tomah, WI"
"Fargo, ND","Shelby, MT"
"Klamath Falls, OR","Salinas, CA"
"Minot, ND","St. Cloud, MN"
"Atlanta, GA","Tuscaloosa, AL"
"Kankakee, IL","Memphis, TN"
"Winona, MN","East Glacier Park, MT"
"Naperville, IL","Williams Junction, AZ"
"Deland, FL","Fort Lauderdale, FL"
"Savannah, GA","Rocky Mount, NC"
"Hollywood, FL","Columbia, SC"
"Washington, DC","Laurel, MS"
"Garden City, KS","Galesburg, IL"
"Santa Barbara, CA","Martinez, CA"
"Clifton Forge, VA","Chicago, IL"
"Miami, FL","Baltimore, MD"
"Salem, OR","Martinez, CA"
"Los Angeles, CA","Deming, NM"
"El Paso, TX","Austin, TX"
"Tampa, FL","Kissimmee, FL"
"Lafayette, LA","New Orleans, LA"
"Minot, ND","Havre, MT"
"Emeryville, CA","Oxnard, CA"
"Olympia-Lacey, WA","Eugene, OR"
"Greenville, SC","Atlanta, GA"
"Hattiesburg, MS","New Orleans, LA"
"Tacoma, WA","Oakland, CA"
"Minot, ND","Winona, MN"
"Alexandria, VA","Miami, FL"
"High Point, NC","Baltimore, MD"
"Washington, DC","Burlington, NC"
"Reno, NV","Lincoln, NE"
"Salinas, CA","Sacramento, CA"
"Raleigh, NC","West Palm Beach, FL"
"Rochester, NY","Boston, MA"
"Alexandria, VA","Charlottesville, VA"
"Charleston, WV","Philadelphia, PA"
"Okeechobee, FL","New York, NY"
"Deland, FL","Charleston, SC"
"Eugene, OR","Van Nuys, CA"
"Winona, MN","St. Paul-Minneapolis, MN"
"New York, NY","White Sulphur Springs, WV"
"Elkhart, IN","Albany-Rensselaer, NY"
"Alexandria, VA","Trenton, NJ"
"Kissimmee, FL","Fayetteville, NC"
"Lynchburg, VA","Philadelphia, PA"
"Memphis, TN","Kankakee, IL"
"Wolf Point, MT","Spokane, WA"
"Washington, DC","Ashland, KY"
"Houston, TX","Ontario, CA"
"Raton, NM","Albuquerque, NM"
"Emeryville, CA","Elko, NV"
"Cleveland, OH","Schenectady, NY"
"Lafayette, LA","Ontario, CA"
"Alexandria, VA","Birmingham, AL"
"Effingham, IL","New Orleans, LA"
"Elkhart, IN","Martinsburg, WV"
"Essex, MT","Seattle, WA"
"Glenwood Springs, CO","Omaha, NE"
"Newton, KS","Lamy, NM"
"Joliet, IL","Little Rock, AR"
"Syracuse, NY","Elkhart, IN"
"Washington, DC","Lakeland, FL"
"Newark, NJ","Sebring, FL"
"Cary, NC","Fort Lauderdale, FL"
"Kissimmee, FL","Charleston, SC"
"Hope, AR","Chicago, IL"
"Glenview, IL","La Crosse, WI"
"Dodge City, KS","Kansas City, MO"
"Martinez, CA","Truckee, CA"
"La Plata, MO","Naperville, IL"
